epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,101857.0,1.28619,1.64071,1.28929,0.60669,0.44168,0.47911,0.33481,1.16419,1.28568,1.18494,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,102896.0,1.28471,1.63849,1.28858,0.5957,0.44361,0.4789,0.3349,1.16378,1.28616,1.18452,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,103935.0,1.28679,1.63995,1.28931,0.60779,0.43876,0.47935,0.33514,1.16345,1.28608,1.18401,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,104976.0,1.28533,1.63896,1.28831,0.61189,0.43818,0.47987,0.33539,1.16301,1.28568,1.18351,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,106010.0,1.28502,1.63728,1.28763,0.60391,0.44102,0.47977,0.33543,1.16311,1.28576,1.18331,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,107044.0,1.28509,1.636,1.28807,0.59755,0.44155,0.47962,0.33527,1.16309,1.28474,1.18328,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,108081.0,1.28515,1.63693,1.28806,0.5952,0.4437,0.47944,0.33542,1.16303,1.28435,1.18325,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,109117.0,1.28571,1.63957,1.28943,0.59623,0.44487,0.47952,0.33547,1.1631,1.28352,1.18303,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,110154.0,1.28408,1.63674,1.28835,0.59908,0.44437,0.4797,0.33535,1.16331,1.28226,1.18329,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,111191.0,1.2825,1.63869,1.28894,0.60135,0.44538,0.48036,0.33604,1.16334,1.28159,1.18355,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
